TRADE_DATE,TICKER,COMPANY_NAME,SECTOR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME,DAILY_RETURN_PCT,CUMULATIVE_RETURN_PCT,MOVING_AVG_7D,MOVING_AVG_30D,VOLATILITY_30D,VOLUME_AVG_20D,PRICE_VS_52W_HIGH,PRICE_VS_52W_LOW
2026-01-23,META,"Meta Platforms, Inc.",Communication Services,644.77001953125,666.489990234375,644.4500122070312,658.760009765625,22797700,1.7185746180531667,9.04456318116708,630.8675079345703,630.8675079345703,2.3505270475796913,18464175.000,82.73281127354788,137.29887656640787
2026-01-23,MSFT,Microsoft Corporation,Technology,451.8699951171875,471.1000061035156,450.5299987792969,465.95001220703125,38000200,3.282794050120964,2.514745989095666,453.9300003051758,453.9300003051758,2.8563220314785998,31865025.000,83.88694071600166,135.14023382552605
2026-01-23,NVDA,NVIDIA Corporation,Technology,187.5,189.60000610351562,186.82000732421875,187.6699981689453,142748100,1.5310549053903877,5.391132953258938,183.47500228881836,183.47500228881836,1.0795004252901008,176527750.000,88.4443179079812,216.65896810083734
2026-01-23,TSLA,"Tesla, Inc.",Consumer Cyclical,447.42999267578125,452.42999267578125,444.0400085449219,449.05999755859375,56771400,-0.06675890216038055,7.110315458221526,437.2774963378906,437.2774963378906,2.168328154245971,64907350.000,90.0226525186123,209.59626490482788
2026-01-23,V,Visa Inc.,Financial Services,325.1894097523205,327.1254199321477,323.9519712494617,325.5087585449219,5667900,-0.0551528617879216,0.11048853634506887,325.23931884765625,325.23931884765625,0.2613686064056222,7465275.000,86.68444476709591,108.8658055334187
2026-01-26,AAPL,AAPL,,251.24490015634893,256.32015295784896,249.5664780183616,255.17123413085938,55969200,2.9712962519964927,3.5306043596526804,248.99701232910155,248.99701232910155,1.4124386972116458,54455140.000,,
2026-01-26,AMZN,"Amazon.com, Inc.",Consumer Cyclical,239.97999572753906,240.9499969482422,237.5399932861328,238.4199981689453,32825500,-0.3094185824689813,3.2121204194568453,234.84599914550782,234.84599914550782,1.0822458729548152,38706260.000,92.19644167399277,147.73825639419093
2026-01-26,GOOGL,GOOGL,,327.80999755859375,335.8399963378906,327.0,333.260009765625,26042100,1.6253521205403882,3.4968974427406834,328.4220031738281,328.4220031738281,1.2389609408406546,30064660.000,,
2026-01-26,JNJ,Johnson & Johnson,Healthcare,220.2100067138672,222.02999877929688,220.0,221.49000549316406,6856700,0.6132488903691283,1.5031385721910764,219.26800231933595,219.26800231933595,0.384291154797364,11157460.000,89.90866876117883,156.53003921778378
2026-01-26,JPM,JP Morgan Chase & Co.,Financial Services,297.80999755859375,301.7799987792969,297.45001220703125,301.0400085449219,11752700,1.1151441994512126,-0.5615319231981987,301.4340026855469,301.4340026855469,1.3280232702875445,11313420.000,89.26316042844236,148.9117572936891
2026-01-26,META,"Meta Platforms, Inc.",Communication Services,665.1300048828125,675.280029296875,661.2899780273438,672.3599853515625,16327400,2.0644810529370368,11.29576752730023,639.1660034179688,639.1660034179688,1.9691598166145847,18036820.000,84.44081448685243,140.13338585901678
2026-01-26,MSFT,Microsoft Corporation,Technology,465.30999755859375,474.25,462.0,470.2799987792969,29291200,0.9292813518248653,3.467396406442961,457.2,457.2,2.332445903879165,31350260.000,84.66648641269184,136.39606681727915
2026-01-26,NVDA,NVIDIA Corporation,Technology,187.16000366210938,189.1199951171875,185.99000549316406,186.47000122070312,124799600,-0.6394186390740622,4.717242405224475,184.07400207519532,184.07400207519532,1.4925128119860436,166182120.000,87.87878845407565,215.27361027557507
2026-01-26,TSLA,"Tesla, Inc.",Consumer Cyclical,445.0,445.0400085449219,434.2799987792969,435.20001220703125,49397400,-3.0864440001147146,3.8044155532573045,436.86199951171875,436.86199951171875,3.2361735029212593,61805360.000,87.24415376120747,203.12719356220828
2026-01-26,V,Visa Inc.,Financial Services,327.32501347087873,331.3167819278407,324.3611241733934,327.8139953613281,7540200,0.7081950196090087,0.8194660302657121,325.75425415039064,325.75425415039064,0.39768516381504965,7480260.000,87.29833968771221,109.6367877462636
2026-01-27,AAPL,AAPL,,258.92771692213245,261.70511669708895,257.96859246831417,258.0285339355469,49648300,1.1197578028024082,4.689896380258381,250.50226593017578,250.50226593017578,1.2279549118931583,53654000.000,,
2026-01-27,AMZN,"Amazon.com, Inc.",Consumer Cyclical,239.69000244140625,244.8800048828125,238.0800018310547,244.67999267578125,38029200,2.625616372331352,5.922074751420454,236.48499806722006,236.48499806722006,1.2436076996965313,38593416.666,94.61716654129204,151.61729624227368
2026-01-27,GOOGL,GOOGL,,335.3699951171875,337.9100036621094,333.4800109863281,334.54998779296875,21636200,0.3870785541448448,3.8975117369468166,329.4433339436849,329.4433339436849,1.0943781637467414,28659916.666,,
2026-01-27,JNJ,Johnson & Johnson,Healthcare,222.0,225.5,220.6999969482422,224.44000244140625,8154100,1.3318871619844872,2.8550458438454136,220.130002339681,220.130002339681,0.5423823313470052,10656900.000,91.10615077792013,158.61484271477474
2026-01-27,JPM,JP Morgan Chase & Co.,Financial Services,301.3299865722656,301.9700012207031,298.1499938964844,300.30999755859375,11527400,-0.24249633457580477,-0.8026665634427749,301.2466684977214,301.2466684977214,1.1511244705484878,11349083.333,89.04670053627687,148.5506517404995
2026-01-27,META,"Meta Platforms, Inc.",Communication Services,674.5900268554688,676.8200073242188,664.6599731445312,672.969970703125,13297400,0.09072303005116401,11.396738419919696,644.7999979654948,644.7999979654948,2.0728567766272383,17246916.666,84.51742175235479,140.26051911278137
2026-01-27,MSFT,Microsoft Corporation,Technology,473.70001220703125,482.8699951171875,473.1600036621094,480.5799865722656,29213900,2.190181980884658,5.733520678627375,461.09666442871094,461.09666442871094,2.1036994951790966,30994200.000,86.52083654195077,139.3833888953466
2026-01-27,NVDA,NVIDIA Corporation,Technology,187.24000549316406,190.0,185.6999969482422,188.52000427246094,143711600,1.099374182623327,5.868476732982599,184.81500244140625,184.81500244140625,1.2929105551933258,162437033.333,88.84490516634193,217.6402727689459
2026-01-27,TSLA,"Tesla, Inc.",Consumer Cyclical,437.4100036621094,437.5199890136719,430.69000244140625,430.8999938964844,37733100,-0.9880556502607107,2.778770160163238,435.8683319091797,435.8683319091797,2.9371556172697617,57793316.666,86.38213297044773,201.12018384900088
2026-01-27,V,Visa Inc.,Financial Services,327.80404260907557,328.25309829578197,324.24138188731973,324.5906677246094,6365800,-0.9832794457618823,-0.17187105653677381,325.56032307942706,325.56032307942706,0.6331955057785336,7294516.666,86.43995305707155,108.558751747361
